Calories(g),TotalFat(g),Na(mg),K(mg) ,Protine(g),VitaminA,VitaminC,Iron,Item
130,0,0,260,1,2,8,2,Fruit
50,4.5,0,140,1,0,4,2,Fruit
110,0,0,450,1,2,15,2,Fruit
50,0,20,240,1,120,80,2,Fruit
60,0,0,160,1,35,100,0,Fruit
90,0,15,240,0,0,2,0,Fruit
50,0,30,210,1,2,45,2,Fruit
90,1,0,450,1,2,240,2,Fruit
15,0,0,75,0,0,40,0,Fruit
20,0,0,75,0,0,35,0,Fruit
60,0.5,0,250,1,8,15,2,Fruit
80,0,0,250,1,2,130,0,Fruit
60,0.5,0,230,1,6,15,2,Fruit
100,0,0,190,1,0,10,0,Fruit
50,0,10,120,1,2,50,2,Fruit
70,0,0,230,1,8,10,2,Fruit
50,0,0,170,1,0,160,2,Fruit
100,0,0,350,1,2,15,2,Fruit
50,0,0,160,1,6,45,0,Fruit
80,0,0,270,1,30,25,4,Fruit
50,1.5,15,180,1,8,110,2,Fruit
40,4,0,250,1,2,130,0,Fruit
120,0,0,290,0,25,80,0,Fruit
50,2.5,20,120,1,2,70,2,Fruit
70,0.3,40,150,0,6,45,0,Fruit
20,0,0,230,2,10,15,2,Vegetable
25,0,40,220,1,4,190,4,Vegetable
45,0.5,80,460,4,6,220,6,Vegetable
25,0,60,250,1,11,10,2,Vegetable
30,0,30,270,2,0,100,2,Vegetable
15,0,115,260,0,10,15,2,Vegetable
10,0,0,140,1,4,10,2,Vegetable
20,0,0,200,1,4,10,2,Vegetable
25,0,20,190,1,0,70,2,Vegetable
10,0,10,70,0,2,8,2,Vegetable
10,0,10,125,1,6,6,2,Vegetable
15,0,35,170,1,130,6,4,Vegetable
20,0,15,300,3,0,2,2,Vegetable
45,0,5,190,1,0,20,4,Vegetable
110,0,0,620,3,0,45,6,Vegetable
10,0,55,190,0,0,30,2,Vegetable
20,0,0,250,1,6,30,2,Vegetable
90,2.5,0,250,4,2,10,2,Vegetable
100,0,70,440,2,120,30,4,Vegetable
25,0,20,340,1,20,40,4,Vegetable
15,2.5,110,225,4,0,8,2,Vegetable
100,0,10,270,1,130,60,6,Vegetable
45,2.5,25,250,3,120,10,2,Vegetable
10,0.5,110,200,2,0,10,2,Vegetable
75,0,60,150,0,10,45,2,Vegetable
290,32,55,120,22,0,0,15,Meat
220,22,45,150,22,0,0,8,Meat
170,37,55,170,19,0,0,10,Meat
300,12,30,260,24,0,0,6,Meat
180,15,45,280,26,0,0,4,Meat
200,18,45,210,23,0,0,7,Meat
210,32,40,190,18,0,0,14,Meat
190,22,75,250,22,0,0,6,Meat
240,25,65,222,23,0,0,4,Meat
230,11,70,195,20,0,0,9,Meat
160,13,62,245,18,0,0,10,Meat
250,26,73,220,19,0,0,7,Meat
280,19,83,270,20,0,0,14,Meat
240,25,65,222,23,0,0,4,Meat
230,11,70,195,20,0,0,9,Meat
160,13,62,245,18,0,0,10,Meat
250,26,73,220,19,0,0,7,Meat
280,19,83,270,20,0,0,14,Meat
200,25,40,290,20,0,0,4,Meat
250,28,35,240,21,0,0,7,Meat
170,12,70,150,15,0,0,14,Meat
190,20,75,230,12,0,0,6,Meat
280,35,60,220,19,0,0,4,Meat
100,21,35,223,20,0,0,9,Meat
190,30,52,100,25,0,0,5,Meat
245,2.2,257,371,8.1,20,2,0.1,Dairy
28,8.1,396,73,6.1,65,0,0.1,Dairy
28,9.4,176,28,7.1,86,0,0.2,Dairy
28,9.9,84,34,2.1,124,0,0.3,Dairy
28,8.6,152,23,6.9,81,0,0.2,Dairy
28,7.8,74,31,8,72,0,0,Dairy
28,7.7,232,34,7.1,49,0,0.1,Dairy
28,5.8,106,19,5.5,68,0,0,Dairy
210,8.9,850,177,26.2,101,0,0.3,Dairy
230,48.2,123,331,7.3,448,2,0.1,Dairy
265,15,209,387,14,146,1,1.1,Dairy
254,19,138,420,9.7,203,4,0.5,Dairy
133,14.4,116,257,4.8,133,1,0.1,Dairy
131,5.6,105,265,5.1,53,1,0.2,Dairy
233,4.5,50,205,9.3,155,6,0.5,Dairy
244,4.8,122,377,8.1,140,2,0.1,Dairy
244,8.1,120,370,8,76,2,0.1,Dairy
142,11,285,254,3,31,0,1.2,Dairy
193,3.8,87,199,2.2,38.5,4,0.3,Dairy
245,0.4,126,406,8.3,149,2,0.1,Dairy
227,2.5,133,442,9.9,25,2,0.2,Dairy
227,7.4,104,352,7.9,68,1,0.1,Dairy
130,2.8,104,23,8,73,0,0,Dairy
240,15,122,370,25.1,120,2,0.1,Dairy
28,15.9,94,364,2.1,124,0,0.3,Dairy
